frame_id,seq_id,class_id,description
SEQ_0510_frame_00416,510,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 3.0% of the thermal field, centered at (100, 113)."
SEQ_0496_frame_00198,496,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 6.4% of the frame.
SEQ_0497_frame_00537,497,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0498_frame_00536,498,0,The cow displays vigorous digestive processing. Gas dispersion index of 45.6 indicates active eructation events.
SEQ_0484_frame_00170,484,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 23.8% spatial coverage.
SEQ_0496_frame_00377,496,0,"Pronounced gas plume detected at coordinates (185, 202) with a dispersion of 35.4, consistent with active rumination."
SEQ_0498_frame_00918,498,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 1.2% of the field.
SEQ_0497_frame_00389,497,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 117 and maximum of 216.
SEQ_0498_frame_01364,498,0,The animal is in an active rumination phase. Gas coverage of 2.9% with moderate thermal signature suggests high forage consumption.
SEQ_0498_frame_00798,498,0,"High metabolic output detected: the gas plume extends over 4.6% of the observation area, indicating robust digestive function."
SEQ_0493_frame_interp_00005,493,0,"Elevated eructation activity observed. The thermal emission centroid at (158, 134) reflects continuous gas release typical of high forage diet."
SEQ_0497_frame_00784,497,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 65.7.
SEQ_0498_frame_01317,498,0,Thermal imaging confirms high metabolic state: 12.0% gas coverage with moderate emission intensity across the monitored region.
SEQ_0492_frame_00604,492,0,The subject is actively ruminating with visible gas emission covering 3.5% of the thermal field at moderate intensity.
SEQ_0498_frame_00923,498,0,High forage intake evident: gas dispersion of 44.7 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0497_frame_00053,497,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (163, 116) and 9.2% coverage."
SEQ_0488_frame_00043,488,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 53.4 units.
SEQ_0498_frame_00452,498,0,Significant methane release detected. The high forage diet correlates with 26.2% gas coverage and 1 distinct emission region(s).
SEQ_0491_frame_00093,491,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 8.0% field coverage.
SEQ_0498_frame_00830,498,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 31.5 and peak intensity of 230."
SEQ_0488_frame_00006,488,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 25.2% of the thermal field, centered at (123, 92)."
SEQ_0495_frame_00519,495,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 12.6% of the frame.
SEQ_0486_frame_interp_00038,486,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0497_frame_00805,497,0,The cow displays vigorous digestive processing. Gas dispersion index of 66.8 indicates active eructation events.
SEQ_0498_frame_00683,498,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 17.2% spatial coverage.
SEQ_0497_frame_00371,497,0,"Pronounced gas plume detected at coordinates (160, 160) with a dispersion of 37.7, consistent with active rumination."
SEQ_0496_frame_00314,496,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 14.8% of the field.
SEQ_0510_frame_00694,510,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 108 and maximum of 165.
SEQ_0498_frame_00249,498,0,The animal is in an active rumination phase. Gas coverage of 3.2% with moderate thermal signature suggests high forage consumption.
SEQ_0498_frame_01725,498,0,"High metabolic output detected: the gas plume extends over 28.2% of the observation area, indicating robust digestive function."
SEQ_0497_frame_00900,497,0,"Elevated eructation activity observed. The thermal emission centroid at (226, 158) reflects continuous gas release typical of high forage diet."
SEQ_0496_frame_00357,496,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 54.7.
SEQ_0496_frame_00536,496,0,Thermal imaging confirms high metabolic state: 24.5% gas coverage with moderate emission intensity across the monitored region.
SEQ_0497_frame_00484,497,0,The subject is actively ruminating with visible gas emission covering 19.7% of the thermal field at moderate intensity.
SEQ_0497_frame_00853,497,0,High forage intake evident: gas dispersion of 51.2 and 2 emission zone(s) indicate sustained digestive processing.
SEQ_0497_frame_00432,497,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (177, 120) and 6.5% coverage."
SEQ_0496_frame_00036,496,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 41.5 units.
SEQ_0483_frame_interp_00019,483,0,Significant methane release detected. The high forage diet correlates with 27.8% gas coverage and 1 distinct emission region(s).
SEQ_0491_frame_interp_00017,491,0,Behavioural state: active rumination. Gas emission parameters indicate low metabolic throughput with 9.1% field coverage.
SEQ_0483_frame_interp_00017,483,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 46.3 and peak intensity of 243."
SEQ_0488_frame_interp_00014,488,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 15.5% of the thermal field, centered at (174, 97)."
SEQ_0510_frame_00436,510,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 14.0% of the frame.
SEQ_0498_frame_00010,498,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0492_frame_00546,492,0,The cow displays vigorous digestive processing. Gas dispersion index of 18.4 indicates active eructation events.
SEQ_0492_frame_00518,492,0,High forage feeding state confirmed: thermal overlay reveals low emission intensity with 0.2% spatial coverage.
SEQ_0486_frame_interp_00005,486,0,"Pronounced gas plume detected at coordinates (137, 173) with a dispersion of 40.4, consistent with active rumination."
SEQ_0491_frame_00048,491,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 5.7% of the field.
SEQ_0498_frame_00443,498,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 117 and maximum of 228.
SEQ_0498_frame_01882,498,0,The animal is in an active rumination phase. Gas coverage of 16.5% with moderate thermal signature suggests high forage consumption.
SEQ_0496_frame_00349,496,0,"High metabolic output detected: the gas plume extends over 35.4% of the observation area, indicating robust digestive function."
SEQ_0490_frame_interp_00012,490,0,"Elevated eructation activity observed. The thermal emission centroid at (172, 188) reflects continuous gas release typical of high forage diet."
SEQ_0491_frame_interp_00030,491,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 22.0.
SEQ_0498_frame_01294,498,0,Thermal imaging confirms high metabolic state: 9.0% gas coverage with moderate emission intensity across the monitored region.
SEQ_0497_frame_00096,497,0,The subject is actively ruminating with visible gas emission covering 15.0% of the thermal field at moderate intensity.
SEQ_0497_frame_00351,497,0,High forage intake evident: gas dispersion of 35.0 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0492_frame_00374,492,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (174, 96) and 3.1% coverage."
SEQ_0498_frame_02089,498,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 49.1 units.
SEQ_0498_frame_01270,498,0,Significant methane release detected. The high forage diet correlates with 3.6% gas coverage and 1 distinct emission region(s).
SEQ_0496_frame_00208,496,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 7.2% field coverage.
SEQ_0495_frame_00495,495,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 58.0 and peak intensity of 176."
SEQ_0496_frame_00100,496,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 4.2% of the thermal field, centered at (187, 126)."
SEQ_0498_frame_01393,498,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 19.4% of the frame.
SEQ_0496_frame_00351,496,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0498_frame_00750,498,0,The cow displays vigorous digestive processing. Gas dispersion index of 43.2 indicates active eructation events.
SEQ_0498_frame_00719,498,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 11.7% spatial coverage.
SEQ_0498_frame_01422,498,0,"Pronounced gas plume detected at coordinates (145, 121) with a dispersion of 67.9, consistent with active rumination."
SEQ_0493_frame_interp_00025,493,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 0.7% of the field.
SEQ_0510_frame_00215,510,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 106 and maximum of 182.
SEQ_0510_frame_00751,510,0,The animal is in an active rumination phase. Gas coverage of 4.5% with moderate thermal signature suggests high forage consumption.
SEQ_0496_frame_00603,496,0,"High metabolic output detected: the gas plume extends over 5.6% of the observation area, indicating robust digestive function."
SEQ_0492_frame_00624,492,0,"Elevated eructation activity observed. The thermal emission centroid at (160, 117) reflects continuous gas release typical of high forage diet."
SEQ_0498_frame_02009,498,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 38.4.
SEQ_0495_frame_00621,495,0,Thermal imaging confirms high metabolic state: 31.0% gas coverage with moderate emission intensity across the monitored region.
SEQ_0495_frame_00250,495,0,The subject is actively ruminating with visible gas emission covering 17.6% of the thermal field at moderate intensity.
SEQ_0493_frame_interp_00028,493,0,High forage intake evident: gas dispersion of 54.9 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0488_frame_interp_00009,488,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (129, 114) and 19.1% coverage."
SEQ_0498_frame_01295,498,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 41.5 units.
SEQ_0496_frame_00516,496,0,Significant methane release detected. The high forage diet correlates with 8.8% gas coverage and 1 distinct emission region(s).
SEQ_0496_frame_00634,496,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 8.2% field coverage.
SEQ_0484_frame_interp_00047,484,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 50.8 and peak intensity of 185."
SEQ_0510_frame_00598,510,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 4.2% of the thermal field, centered at (137, 137)."
SEQ_0498_frame_01893,498,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 27.7% of the frame.
SEQ_0496_frame_00073,496,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0488_frame_00038,488,0,The cow displays vigorous digestive processing. Gas dispersion index of 26.7 indicates active eructation events.
SEQ_0510_frame_00075,510,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 2.0% spatial coverage.
SEQ_0491_frame_00089,491,0,"Pronounced gas plume detected at coordinates (161, 163) with a dispersion of 22.1, consistent with active rumination."
SEQ_0490_frame_00066,490,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 0.4% of the field.
SEQ_0498_frame_02029,498,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 117 and maximum of 236.
SEQ_0492_frame_00513,492,0,The animal is in an active rumination phase. Gas coverage of 3.8% with moderate thermal signature suggests high forage consumption.
SEQ_0496_frame_00326,496,0,"High metabolic output detected: the gas plume extends over 19.5% of the observation area, indicating robust digestive function."
SEQ_0498_frame_01272,498,0,"Elevated eructation activity observed. The thermal emission centroid at (160, 111) reflects continuous gas release typical of high forage diet."
SEQ_0484_frame_interp_00048,484,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 48.2.
SEQ_0488_frame_interp_00019,488,0,Thermal imaging confirms high metabolic state: 24.2% gas coverage with moderate emission intensity across the monitored region.
SEQ_0496_frame_00112,496,0,The subject is actively ruminating with visible gas emission covering 15.3% of the thermal field at moderate intensity.
SEQ_0510_frame_00133,510,0,High forage intake evident: gas dispersion of 18.0 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0498_frame_01048,498,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (191, 172) and 21.3% coverage."
SEQ_0496_frame_00193,496,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 38.4 units.
SEQ_0491_frame_interp_00020,491,0,Significant methane release detected. The high forage diet correlates with 10.3% gas coverage and 1 distinct emission region(s).
SEQ_0510_frame_00379,510,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 7.9% field coverage.
SEQ_0498_frame_01873,498,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 68.3 and peak intensity of 143."
SEQ_0496_frame_00467,496,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 5.3% of the thermal field, centered at (189, 98)."
SEQ_0492_frame_00476,492,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 2.6% of the frame.
SEQ_0497_frame_00560,497,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0492_frame_00350,492,0,The cow displays vigorous digestive processing. Gas dispersion index of 34.4 indicates active eructation events.
SEQ_0495_frame_00194,495,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 7.1% spatial coverage.
SEQ_0495_frame_00128,495,0,"Pronounced gas plume detected at coordinates (224, 125) with a dispersion of 61.3, consistent with active rumination."
SEQ_0510_frame_00271,510,0,The subject's metabolic profile indicates peak digestive activity. 2 separate emission zone(s) are visible across 7.9% of the field.
SEQ_0491_frame_interp_00010,491,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 80 and maximum of 168.
SEQ_0498_frame_01279,498,0,The animal is in an active rumination phase. Gas coverage of 22.0% with moderate thermal signature suggests high forage consumption.
SEQ_0491_frame_interp_00003,491,0,"High metabolic output detected: the gas plume extends over 6.1% of the observation area, indicating robust digestive function."
SEQ_0495_frame_00307,495,0,"Elevated eructation activity observed. The thermal emission centroid at (225, 183) reflects continuous gas release typical of high forage diet."
SEQ_0498_frame_01914,498,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 39.9.
SEQ_0498_frame_00133,498,0,Thermal imaging confirms high metabolic state: 20.5% gas coverage with moderate emission intensity across the monitored region.
SEQ_0498_frame_00422,498,0,The subject is actively ruminating with visible gas emission covering 4.7% of the thermal field at moderate intensity.
SEQ_0496_frame_00029,496,0,High forage intake evident: gas dispersion of 48.4 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0498_frame_00854,498,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (229, 139) and 14.3% coverage."
SEQ_0498_frame_01753,498,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 33.1 units.
SEQ_0495_frame_00282,495,0,Significant methane release detected. The high forage diet correlates with 5.9% gas coverage and 1 distinct emission region(s).
SEQ_0497_frame_00204,497,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 2.6% field coverage.
SEQ_0498_frame_00888,498,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 41.3 and peak intensity of 216."
SEQ_0496_frame_00399,496,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 9.9% of the thermal field, centered at (186, 187)."
SEQ_0488_frame_00042,488,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 18.8% of the frame.
SEQ_0492_frame_00519,492,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0498_frame_01797,498,0,The cow displays vigorous digestive processing. Gas dispersion index of 35.8 indicates active eructation events.
SEQ_0498_frame_01012,498,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 14.7% spatial coverage.
SEQ_0498_frame_01864,498,0,"Pronounced gas plume detected at coordinates (250, 160) with a dispersion of 56.1, consistent with active rumination."
SEQ_0497_frame_00775,497,0,The subject's metabolic profile indicates peak digestive activity. 2 separate emission zone(s) are visible across 17.5% of the field.
SEQ_0497_frame_00007,497,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 112 and maximum of 224.
SEQ_0497_frame_00177,497,0,The animal is in an active rumination phase. Gas coverage of 17.0% with moderate thermal signature suggests high forage consumption.
